X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-18.217822	15.049505	0.000000	-1.000000
-18.217822	15.445545	0.000000	-1.000000
-18.217822	15.841584	0.000000	-1.000000
-18.217822	16.237624	0.000000	-1.000000
-18.217822	16.633663	0.000000	-1.000000
-18.217822	17.029703	0.000000	-1.000000
-18.217822	17.425743	0.000000	-1.000000
-18.217822	17.821782	0.000000	-1.000000
-18.217822	18.217822	0.000000	-1.000000
-18.217822	18.613861	0.000000	-1.000000
-18.217822	19.009901	0.000000	-1.000000
-18.217822	19.405941	0.000000	-1.000000
-18.217822	19.801980	0.000000	-1.000000
-17.821782	-19.801980	0.000000	-1.000000
-17.821782	-19.405941	0.000000	-1.000000
-17.821782	-19.009901	0.000000	-1.000000
-17.821782	-18.613861	0.000000	-1.000000
-17.821782	-18.217822	0.000000	-1.000000
-17.821782	-17.821782	0.000000	-1.000000
-17.821782	-17.425743	0.000000	-1.000000
-17.821782	-17.029703	0.000000	-1.000000
-17.821782	-16.633663	0.000000	-1.000000
-17.821782	-16.237624	0.000000	-1.000000
-17.821782	-15.841584	0.000000	-1.000000
-17.821782	-15.445545	0.000000	-1.000000
-17.821782	-15.049505	0.000000	-1.000000
-17.821782	-14.653465	0.000000	-1.000000
-17.821782	-14.257426	0.000000	-1.000000
-17.821782	-13.861386	0.000000	-1.000000
-17.821782	-13.465347	0.000000	-1.000000
-17.821782	-13.069307	0.000000	-1.000000
-17.821782	-12.673267	0.000000	-1.000000
-17.821782	-12.277228	0.000000	-1.000000
-17.821782	-11.881188	0.000000	-1.000000
-17.821782	-11.485149	0.000000	-1.000000
-17.821782	-11.089109	0.000000	-1.000000
-17.821782	-10.693069	0.000000	-1.000000
-17.821782	-10.297030	0.000000	-1.000000
-17.821782	-9.900990	0.093606	-0.906394
-17.821782	-9.504950	0.613641	-0.386359
-17.821782	-9.108911	1.071271	0.071271
-17.821782	-8.712871	0.863258	-0.136742
-17.821782	-8.316832	0.967264	-0.032736
-17.821782	-7.920792	0.956864	-0.043136
-17.821782	-7.524752	0.967264	-0.032736
-17.821782	-7.128713	0.832055	-0.167945
