r (Angstroms)	rho/rho_ideal_gas
7.924528	4.042352	3.042352
7.934459	3.840101	2.840101
7.944389	3.524334	2.524334
7.954320	3.312881	2.312881
7.964250	3.107126	2.107126
7.974181	2.989662	1.989662
7.984111	2.619794	1.619794
7.994042	2.271446	1.271446
8.003972	1.908530	0.908530
8.013903	1.921580	0.921580
8.023833	1.811441	0.811441
8.033764	1.558067	0.558067
8.043694	1.586858	0.586858
8.053625	1.324161	0.324161
8.063555	1.210192	0.210192
8.073486	1.035304	0.035304
8.083416	1.090064	0.090064
8.093347	1.098903	0.098903
8.103277	0.940037	-0.059963
8.113208	0.827236	-0.172764
8.123138	1.054324	0.054324
8.133069	0.804966	-0.195034
8.142999	0.778702	-0.221298
8.152929	0.717150	-0.282850
8.162860	0.721323	-0.278677
8.172790	0.619685	-0.380315
8.182721	0.639061	-0.360939
8.192651	0.743831	-0.256169
8.202582	0.592337	-0.407663
8.212512	0.691896	-0.308104
8.222443	0.580891	-0.419109
8.232373	0.595196	-0.404804
8.242304	0.564506	-0.435494
8.252234	0.568816	-0.431184
8.262165	0.493379	-0.506621
8.272095	0.457943	-0.542057
8.282026	0.606545	-0.393455
8.291956	0.372430	-0.627570
8.301887	0.391824	-0.608176
8.311817	0.535018	-0.464982
8.321748	0.470056	-0.529944
8.331678	0.449728	-0.550272
8.341609	0.449193	-0.550807
8.351539	0.414147	-0.585853
8.361470	0.418580	-0.581420
8.371400	0.373816	-0.626184
8.381331	0.471630	-0.528370
8.391261	0.436723	-0.563277
8.401192	0.377392	-0.622608
8.411122	0.411215	-0.588785
8.421053	0.366724	-0.633276
8.430983	0.376060	-0.623940
8.440914	0.360983	-0.639017
8.450844	0.292345	-0.707655
8.460775	0.423403	-0.576597
8.470705	0.330548	-0.669452
8.480636	0.383570	-0.616430
8.490566	0.310377	-0.689623
8.500497	0.305171	-0.694829
8.510427	0.420935	-0.579065
8.520357	0.372117	-0.627883
8.530288	0.337895	-0.662105
8.540218	0.361609	-0.638391
8.550149	0.332295	-0.667705
8.560079	0.283806	-0.716194
8.570010	0.369963	-0.630037
8.579940	0.393530	-0.606470
8.589871	0.278029	-0.721971
8.599801	0.335165	-0.664835
8.609732	0.301301	-0.698699
8.619662	0.324839	-0.675161
8.629593	0.343552	-0.656448
8.639523	0.390818	-0.609182
8.649454	0.285636	-0.714364
